run,demand,policy,step,avg_wait_time,avg_journey_time,stair_switch_rate,elevator_utilization,avg_student_wait,avg_faculty_wait,avg_staff_wait,equity_student_faculty,equity_student_staff
86,medium,Priority-based,10800,46.95791583166333,73.75150300601203,0.18837675350701402,0.31038095238095237,50.729007633587784,50.125,41.64390243902439,1.0120500276027489,1.2181617154604072
87,high,Priority-based,10800,49.954491017964074,81.37125748502994,0.17964071856287425,0.3626666666666667,51.159592529711375,37.595238095238095,49.01960784313726,1.360799801296946,1.043655687606112
88,low,Zone batching,10800,30.862385321100916,51.72782874617737,0.06116207951070336,0.26552380952380955,36.924731182795696,44.857142857142854,27.40909090909091,0.8231627970686939,1.3471709552595443
89,medium,Zone batching,10800,48.231914893617024,75.11063829787234,0.2425531914893617,0.28476190476190477,53.17903930131004,48.78947368421053,42.54679802955665,1.0899695218175736,1.2498952157191083
90,high,Zone batching,10800,51.34017971758665,83.12836970474967,0.20410783055198972,0.3680952380952381,50.45489443378119,43.69047619047619,54.96296296296296,1.1548259216451282,0.917979885250736
91,low,FCFS,10800,30.75840978593272,51.54434250764526,0.05198776758409786,0.25666666666666665,34.707317073170735,16.09090909090909,30.064102564102566,2.156951908502136,1.1544438088304125
92,medium,FCFS,10800,34.289640591966176,62.938689217758984,0.02959830866807611,0.35,38.84100418410042,31.59259259259259,29.386473429951693,1.2294338956280322,1.3217307029605108
93,high,FCFS,10800,43.21650717703349,74.85645933014354,0.07894736842105263,0.3842857142857143,47.473118279569896,25.0188679245283,36.946666666666665,1.8974926612497771,1.2849093724170848
94,low,Priority-based,10800,40.12171052631579,63.74342105263158,0.17763157894736842,0.2342857142857143,47.07865168539326,43.3,36.94634146341463,1.0872667825725928,1.2742439392006362
95,medium,Priority-based,10800,43.85769980506823,70.38011695906432,0.1286549707602339,0.34904761904761905,42.869565217391305,48.148148148148145,44.433476394849784,0.8903678929765887,0.9648033126293997
96,high,Priority-based,10800,48.72066326530612,79.86989795918367,0.15051020408163265,0.38542857142857145,46.81139489194499,44.63636363636363,54.15909090909091,1.0487277878032484,0.8643312527257994
97,low,Zone batching,10800,31.44514106583072,54.15047021943574,0.10031347962382445,0.26,40.23170731707317,42.13333333333333,27.47747747747748,0.9548664711330658,1.4641703318672532
98,medium,Zone batching,10800,49.72097759674134,77.13441955193483,0.24643584521384929,0.29523809523809524,52.026923076923076,45.35897435897436,47.484375,1.1470039570378745,1.0956640595337535
99,high,Zone batching,10800,53.514211886304906,85.38113695090439,0.2751937984496124,0.3547619047619048,54.52761904761905,38.75,53.79425837320574,1.4071643625192012,1.013632694205495
100,low,FCFS,10800,23.659016393442624,45.31803278688525,0.022950819672131147,0.25752380952380954,29.64864864864865,24.0,21.638009049773757,1.2353603603603605,1.3702114912905377
101,medium,FCFS,10800,34.643863179074444,62.24949698189135,0.03420523138832998,0.3238095238095238,40.96610169491525,25.74074074074074,29.294871794871796,1.591488842824046,1.398405221970849
102,high,FCFS,10800,40.20854922279793,72.96502590673575,0.06347150259067358,0.4095238095238095,45.017341040462426,25.754716981132077,31.56,1.7479260623769293,1.426404975933537
103,low,Priority-based,10800,31.926421404682273,51.25083612040134,0.13043478260869565,0.2361904761904762,39.04054054054054,42.111111111111114,29.064814814814813,0.9270840761605932,1.3432234400695695
104,medium,Priority-based,10800,55.966740576496676,85.03547671840354,0.3348115299334812,0.2558095238095238,58.96244131455399,47.794117647058826,54.200980392156865,1.233675695196822,1.0878482434809635
105,high,Priority-based,10800,49.202233250620345,80.66873449131513,0.1662531017369727,0.3954285714285714,50.67717996289425,43.7906976744186,46.691964285714285,1.157259021988557,1.0853512106021908
